Yıl,Ay,Şehir,Sınır Kapısı,Sınır Kapısı Tipi,Araç Tipi,Milliyet,Gelen Vatandaş Turist,Gelen Yabancı Turist,Günübirlikçi Vatandaş,Günübirlikçi Yabancı
2011,OCAK,Adana,Botaş (D),Deniz,Deniz,Azerbaycan,0,5,0,0
2011,OCAK,Adana,Botaş (D),Deniz,Deniz,Endonezya,0,1,0,0
2011,OCAK,Adana,Botaş (D),Deniz,Deniz,Filipinler,0,36,0,0
2011,OCAK,Adana,Botaş (D),Deniz,Deniz,Gürcistan,0,1,0,0
2011,OCAK,Adana,Botaş (D),Deniz,Deniz,Hindistan,0,4,0,0
2011,OCAK,Adana,Botaş (D),Deniz,Deniz,İngiltere (Birleşik Krallık),0,3,0,0
2011,OCAK,Adana,Botaş (D),Deniz,Deniz,İran,0,2,0,0
2011,OCAK,Adana,Botaş (D),Deniz,Deniz,İtalya,0,1,0,0
2011,OCAK,Adana,Botaş (D),Deniz,Deniz,Karadağ,0,1,0,0
2011,OCAK,Adana,Botaş (D),Deniz,Deniz,Peru,0,1,0,0
2011,OCAK,Adana,Botaş (D),Deniz,Deniz,Polonya,0,1,0,0
2011,OCAK,Adana,Botaş (D),Deniz,Deniz,Rusya Fed.,0,54,0,0
2011,OCAK,Adana,Botaş (D),Deniz,Deniz,Türkiye,76,0,0,0
2011,OCAK,Adana,Botaş (D),Deniz,Deniz,Ukrayna,0,9,0,0
2011,OCAK,Adana,Botaş (D),Deniz,Deniz,Yunanistan,0,3,0,0
2011,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Almanya,0,2253,0,0
2011,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Amerika Birleşik Devletleri,0,39,0,0
2011,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Arnavutluk,0,2,0,0
2011,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Avustralya,0,16,0,0
2011,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Avusturya,0,37,0,0
2011,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Azerbaycan,0,10,0,0
2011,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Belçika,0,44,0,0
2011,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Beyaz Rusya (Belarus),0,1,0,0
2011,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Bosna Hersek,0,1,0,0
2011,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Bulgaristan,0,13,0,0
2011,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Çek Cumhuriyeti (Çekya),0,3,0,0
2011,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Çin Halk Cumhuriyeti,0,1,0,0
2011,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Danimarka,0,0,0,0
2011,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Endonezya,0,2,0,0
2011,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Fas,0,6,0,0
2011,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Filipinler,0,2,0,0
2011,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Finlandiya,0,0,0,0
2011,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Fransa,0,37,0,0
2011,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Güney Afrika Cumhuriyeti,0,1,0,0
2011,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Güney Kıbrıs Rum Kesimi,0,1,0,0
2011,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Güney Kore,0,1,0,0
2011,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Gürcistan,0,2,0,0
2011,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Hindistan,0,2,0,0
2011,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Hollanda,0,173,0,0
2011,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Irak,0,80,0,0
2011,OCAK,Adana,Şakirpaşa (H),Hava,Hava,İngiltere (Birleşik Krallık),0,24,0,0
2011,OCAK,Adana,Şakirpaşa (H),Hava,Hava,İran,0,5,0,0
2011,OCAK,Adana,Şakirpaşa (H),Hava,Hava,İrlanda,0,2,0,0
2011,OCAK,Adana,Şakirpaşa (H),Hava,Hava,İsveç,0,2,0,0
2011,OCAK,Adana,Şakirpaşa (H),Hava,Hava,İsviçre,0,28,0,0
2011,OCAK,Adana,Şakirpaşa (H),Hava,Hava,İtalya,0,2,0,0
2011,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Kanada,0,2,0,0
2011,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Kazakistan,0,5,0,0
2011,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Kosova,0,1,0,0
2011,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Kuzey Kıbrıs Türk Cumhuriyeti,0,1486,0,0
2011,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Kuzey Makedonya Cumhuriyeti,0,0,0,0
2011,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Lübnan,0,7,0,0
2011,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Macaristan,0,4,0,0
2011,OCAK,Adana,Şakirpaşa (H),Hava,Hava,Milliyetsiz (Haymatlos),0,18,0,0
